30316596,NULL,"2009","IRPS",NULL,0
30316626,NULL,"2008","FREN",NULL,0
30316637,NULL,"2008","GEOS",NULL,0
30316965,NULL,"2007","SPAN",NULL,0
30317292,NULL,"2009","ARTH",NULL,0
30317373,NULL,"2006","PSYC",NULL,0
30319120,NULL,"2006","POLS",NULL,0
30319310,NULL,"2006","NEUR",NULL,0
30319503,NULL,"2006","FREN",NULL,0
30319848,NULL,"2007","ME/R","ARTH",0
30320003,NULL,"2006","ENG",NULL,0
30320008,NULL,"2006","POLS",NULL,0
30320161,NULL,"2006","HIST","ITAS",0
30320295,NULL,"2006","ECON","SPAN",0
30320353,NULL,"2006","POLS","EAS",0
30320444,NULL,"2006","BISC",NULL,0
30320446,NULL,"2006","HIST",NULL,0
30320471,NULL,"2006","FREN",NULL,0
30320477,NULL,"2007","FREN","POLS",0
30320478,NULL,"2006","POLS",NULL,0
30320481,NULL,"2006","CHST","ECON",0
30320491,NULL,"2006","CS","INAT",0
30320573,NULL,"2006","ENG",NULL,0
30321085,NULL,"2011","PSYC",NULL,0
30321165,NULL,"2006","ENG",NULL,0
30321410,NULL,"2006","BIOC",NULL,0
30321415,NULL,"2006","HIST",NULL,0
30321635,NULL,"2007","MATH",NULL,0
30321662,NULL,"2006","INAT","CAMS",0
30321672,NULL,"2006","BISC","AFR",0
30321683,NULL,"2006","EAS",NULL,0
30321694,NULL,"2006","NEUR",NULL,0
30322033,NULL,"2006","FREN","POLS",0
30322036,NULL,"2006","CHEM",NULL,0
30322150,NULL,"2006","SOC",NULL,0
30322179,NULL,"2006","POLS",NULL,0
30322239,NULL,"2006","ENG","FREN",0
30322242,NULL,"2006","PSYC",NULL,0
30322257,NULL,"2007","NEUR","WOST",0
30322707,NULL,"2006","BISC",NULL,0
30322708,NULL,"2006","POLS","WOST",0
30322714,NULL,"2007","ENG",NULL,0
30322715,NULL,"2006","ECON","HIST",0
30322749,NULL,"2006","ARTH",NULL,0
30322750,NULL,"2006","ECON",NULL,0
30322797,NULL,"2006","ARCH",NULL,0
30322815,NULL,"2006","ENG","ARTS",0
30323100,NULL,"2006","ECON",NULL,0
30323110,NULL,"2007","PSYC",NULL,0
30323135,NULL,"2007","PEAC",NULL,0
30323136,NULL,"2006","ECON",NULL,0
